Train_loss,Train_loss_index
143.6278,844
143.5029,845
143.4035,846
143.2671,847
143.1353,848
143.1066,849
143.0127,850
142.9202,851
142.8154,852
142.8355,853
142.7693,854
142.7372,855
142.6205,856
142.5224,857
142.4432,858
142.3995,859
142.3092,860
142.1774,861
142.1998,862
142.0526,863
142.2255,864
142.0929,865
141.9579,866
141.846,867
141.7407,868
141.6262,869
141.6345,870
141.5746,871
141.6094,872
141.545,873
141.4993,874
141.4071,875
141.6984,876
141.601,877
141.4832,878
141.3428,879
141.2211,880
141.1069,881
140.9716,882
140.8423,883
140.8663,884
140.743,885
140.6186,886
140.7218,887
140.5953,888
140.5347,889
140.4309,890
140.308,891
140.2467,892
140.1928,893
140.1514,894
140.0489,895
140.0014,896
139.8982,897
140.1715,898
140.0517,899
139.9441,900
139.8626,901
139.7234,902
139.6784,903
139.6398,904
139.5581,905
139.4955,906
139.3838,907
139.3161,908
139.2512,909
139.1695,910
139.0531,911
138.9666,912
138.9355,913
138.8292,914
138.6964,915
138.5799,916
138.4501,917
138.3504,918
138.3397,919
138.2495,920
138.1433,921
138.0558,922
137.9454,923
137.8321,924
138.1773,925
138.0492,926
137.9648,927
137.8677,928
137.7441,929
137.6185,930
137.5584,931
137.4629,932
137.383,933
137.3293,934
137.2815,935
137.2608,936
137.1557,937
137.0574,938
137.1061,939
137.1253,940
137.0364,941
137.0384,942
137.0328,943
136.9357,944
136.9193,945
137.1586,946
137.0977,947
137.0162,948
136.9763,949
137.1034,950
136.9933,951
137.0498,952
136.9371,953
136.8465,954
136.7838,955
136.9613,956
136.8454,957
136.7935,958
136.6958,959
136.5885,960
136.9062,961
136.8245,962
136.7314,963
136.6316,964
136.5378,965
136.425,966
136.3712,967
136.3395,968
136.2426,969
136.1551,970
136.1003,971
136.1779,972
136.0836,973
135.977,974
135.9559,975
135.8688,976
135.8085,977
135.8169,978
135.7456,979
135.9574,980
135.9471,981
135.87,982
135.8863,983
135.8016,984
135.6786,985
135.5839,986
135.5538,987
135.4805,988
135.453,989
135.3993,990
135.3992,991
135.3053,992
135.2186,993
135.2471,994
